source,profile,risk_mode,total_months,target_5_rate_pct,target_8_rate_pct,target_10_rate_pct,daily_dd_breaches,total_dd_breaches,avg_monthly_pct,best_month_pct,worst_month_pct,max_dd_pct,max_daily_dd_pct,final_equity,verdict
canonical,SPRINT_9_9_3_3_INSTITUTIONAL,0.25pct_equity,72,1.39,0.0,0.0,0,0,0.79,5.27,-0.26,0.72,0.07,17520.58,SUITABLE
canonical,SPRINT_9_9_3_3_INSTITUTIONAL,0.50pct_equity,72,2.78,1.39,0.0,0,0,1.29,8.09,-0.49,1.45,0.14,25041.15,SUITABLE
canonical,SPRINT_9_9_3_3_INSTITUTIONAL,0.75pct_equity,72,6.94,1.39,0.0,0,0,1.67,9.84,-0.7,2.17,0.22,32561.72,SUITABLE
canonical,SPRINT_9_9_3_3_INSTITUTIONAL,1.00pct_equity,72,8.33,4.17,1.39,0,0,1.97,11.03,-0.9,2.9,0.29,40082.3,SUITABLE
canonical,SPRINT_9_9_3_3_INSTITUTIONAL,1.25pct_equity,72,8.33,5.56,2.78,0,0,2.22,11.9,-1.09,3.62,0.36,47602.88,SUITABLE
canonical,SPRINT_9_9_3_3_INSTITUTIONAL,1.50pct_equity,72,9.72,5.56,4.17,0,0,2.43,12.55,-1.26,4.35,0.43,55123.45,SUITABLE
canonical,SPRINT_9_9_3_3_INSTITUTIONAL,fixed_0.01_lot,72,0.0,0.0,0.0,0,0,0.37,2.58,-0.1,0.29,0.03,13008.23,SUITABLE
canonical,SPRINT_9_9_3_3_PROP_FIRM_STRICT,0.25pct_equity,72,1.39,0.0,0.0,0,0,0.96,5.45,-0.58,1.65,0.17,19840.22,SUITABLE
canonical,SPRINT_9_9_3_3_PROP_FIRM_STRICT,0.50pct_equity,72,4.17,1.39,0.0,0,0,1.53,8.05,-0.89,3.3,0.33,29680.45,SUITABLE
canonical,SPRINT_9_9_3_3_PROP_FIRM_STRICT,0.75pct_equity,72,8.33,1.39,0.0,0,0,1.94,9.57,-1.08,4.95,0.49,39520.68,SUITABLE
canonical,SPRINT_9_9_3_3_PROP_FIRM_STRICT,1.00pct_equity,72,9.72,5.56,1.39,0,0,2.26,10.57,-1.21,6.6,0.66,49360.9,SUITABLE
canonical,SPRINT_9_9_3_3_PROP_FIRM_STRICT,1.25pct_equity,72,9.72,5.56,2.78,0,0,2.53,11.27,-1.3,8.25,0.82,59201.12,SUITABLE
canonical,SPRINT_9_9_3_3_PROP_FIRM_STRICT,1.50pct_equity,72,11.11,6.94,2.78,0,0,2.75,13.28,-1.37,9.9,0.99,69041.35,SUITABLE
canonical,SPRINT_9_9_3_3_PROP_FIRM_STRICT,fixed_0.01_lot,72,0.0,0.0,0.0,0,0,0.46,2.77,-0.28,0.66,0.07,13936.09,SUITABLE
canonical,SPRINT_9_9_3_3_RETAIL_SAFE,0.25pct_equity,72,2.78,0.0,0.0,0,0,1.22,5.34,-0.45,1.3,0.13,23791.5,SUITABLE
canonical,SPRINT_9_9_3_3_RETAIL_SAFE,0.50pct_equity,72,5.56,0.0,0.0,0,0,1.87,7.16,-0.68,2.6,0.26,37583.0,SUITABLE
canonical,SPRINT_9_9_3_3_RETAIL_SAFE,0.75pct_equity,72,8.33,2.78,0.0,0,0,2.32,9.06,-0.83,3.9,0.39,51374.5,SUITABLE
canonical,SPRINT_9_9_3_3_RETAIL_SAFE,1.00pct_equity,72,11.11,5.56,1.39,0,0,2.66,11.37,-0.93,5.2,0.52,65166.0,SUITABLE
canonical,SPRINT_9_9_3_3_RETAIL_SAFE,1.25pct_equity,72,19.44,5.56,2.78,0,0,2.94,13.43,-1.0,6.5,0.65,78957.5,SUITABLE
canonical,SPRINT_9_9_3_3_RETAIL_SAFE,1.50pct_equity,72,23.61,5.56,2.78,0,0,3.18,15.27,-1.06,7.8,0.78,92749.0,SUITABLE
canonical,SPRINT_9_9_3_3_RETAIL_SAFE,fixed_0.01_lot,72,0.0,0.0,0.0,0,0,0.61,3.15,-0.22,0.52,0.05,15516.6,SUITABLE
exness,SPRINT_9_9_3_3_INSTITUTIONAL,0.25pct_equity,18,16.67,11.11,0.0,0,0,3.08,8.37,1.1,1.8,0.18,17207.97,SUITABLE
exness,SPRINT_9_9_3_3_INSTITUTIONAL,0.50pct_equity,18,27.78,16.67,11.11,0,0,5.14,14.04,1.68,3.6,0.36,24415.95,SUITABLE
exness,SPRINT_9_9_3_3_INSTITUTIONAL,0.75pct_equity,18,61.11,16.67,16.67,0,0,6.68,18.53,2.04,5.4,0.54,31623.93,SUITABLE
exness,SPRINT_9_9_3_3_INSTITUTIONAL,1.00pct_equity,18,72.22,27.78,16.67,0,0,7.93,22.06,2.28,7.2,0.72,38831.9,SUITABLE
exness,SPRINT_9_9_3_3_INSTITUTIONAL,1.25pct_equity,18,83.33,44.44,27.78,0,0,8.98,24.91,2.45,9.0,0.9,46039.88,SUITABLE
exness,SPRINT_9_9_3_3_INSTITUTIONAL,1.50pct_equity,18,94.44,50.0,33.33,0,12,9.88,27.26,2.59,10.8,1.08,53247.85,UNSUITABLE
exness,SPRINT_9_9_3_3_INSTITUTIONAL,fixed_0.01_lot,18,0.0,0.0,0.0,0,0,1.42,4.2,0.54,0.72,0.07,12883.19,SUITABLE
exness,SPRINT_9_9_3_3_PROP_FIRM_STRICT,0.25pct_equity,59,3.39,0.0,0.0,0,0,1.38,6.85,0.27,1.12,0.11,22364.77,SUITABLE
exness,SPRINT_9_9_3_3_PROP_FIRM_STRICT,0.50pct_equity,59,6.78,1.69,0.0,0,0,2.15,9.14,0.52,2.25,0.23,34729.55,SUITABLE
exness,SPRINT_9_9_3_3_PROP_FIRM_STRICT,0.75pct_equity,59,8.47,5.08,1.69,0,0,2.68,10.28,0.7,3.38,0.34,47094.33,SUITABLE
exness,SPRINT_9_9_3_3_PROP_FIRM_STRICT,1.00pct_equity,59,8.47,6.78,3.39,0,0,3.09,10.97,0.8,4.5,0.45,59459.1,SUITABLE
exness,SPRINT_9_9_3_3_PROP_FIRM_STRICT,1.25pct_equity,59,11.86,6.78,3.39,0,0,3.42,12.45,0.88,5.62,0.56,71823.88,SUITABLE
exness,SPRINT_9_9_3_3_PROP_FIRM_STRICT,1.50pct_equity,59,15.25,6.78,5.08,0,0,3.71,14.03,0.94,6.75,0.68,84188.65,SUITABLE
exness,SPRINT_9_9_3_3_PROP_FIRM_STRICT,fixed_0.01_lot,59,0.0,0.0,0.0,0,0,0.69,3.91,0.11,0.45,0.04,14945.91,SUITABLE
exness,SPRINT_9_9_3_3_RETAIL_SAFE,0.25pct_equity,71,2.82,0.0,0.0,0,0,1.59,7.38,0.26,2.0,0.2,30596.23,SUITABLE
exness,SPRINT_9_9_3_3_RETAIL_SAFE,0.50pct_equity,71,7.04,2.82,0.0,0,0,2.34,9.06,0.35,4.0,0.4,51192.45,SUITABLE
exness,SPRINT_9_9_3_3_RETAIL_SAFE,0.75pct_equity,71,9.86,4.23,1.41,0,0,2.84,12.63,0.4,6.0,0.6,71788.67,SUITABLE
exness,SPRINT_9_9_3_3_RETAIL_SAFE,1.00pct_equity,71,11.27,5.63,4.23,0,0,3.21,16.15,0.43,8.0,0.8,92384.9,SUITABLE
exness,SPRINT_9_9_3_3_RETAIL_SAFE,1.25pct_equity,71,14.08,8.45,4.23,0,0,3.52,19.39,0.45,10.0,1.0,112981.12,SUITABLE
exness,SPRINT_9_9_3_3_RETAIL_SAFE,1.50pct_equity,71,15.49,8.45,4.23,0,12,3.77,22.38,0.46,12.0,1.2,133577.35,UNSUITABLE
exness,SPRINT_9_9_3_3_RETAIL_SAFE,fixed_0.01_lot,71,0.0,0.0,0.0,0,0,0.85,4.75,0.14,0.8,0.08,18238.49,SUITABLE
fbs,SPRINT_9_9_3_3_INSTITUTIONAL,0.25pct_equity,68,0.0,0.0,0.0,0,0,1.01,4.81,-0.05,1.02,0.1,19710.52,SUITABLE
fbs,SPRINT_9_9_3_3_INSTITUTIONAL,0.50pct_equity,68,2.94,0.0,0.0,0,0,1.61,6.63,-0.08,2.05,0.2,29421.05,SUITABLE
fbs,SPRINT_9_9_3_3_INSTITUTIONAL,0.75pct_equity,68,7.35,0.0,0.0,0,0,2.04,7.58,-0.1,3.07,0.31,39131.57,SUITABLE
fbs,SPRINT_9_9_3_3_INSTITUTIONAL,1.00pct_equity,68,8.82,2.94,0.0,0,0,2.38,9.21,-0.11,4.1,0.41,48842.1,SUITABLE
fbs,SPRINT_9_9_3_3_INSTITUTIONAL,1.25pct_equity,68,10.29,4.41,1.47,0,0,2.66,11.19,-0.13,5.12,0.51,58552.62,SUITABLE
fbs,SPRINT_9_9_3_3_INSTITUTIONAL,1.50pct_equity,68,14.71,5.88,2.94,0,0,2.89,13.06,-0.15,6.15,0.61,68263.15,SUITABLE
fbs,SPRINT_9_9_3_3_INSTITUTIONAL,fixed_0.01_lot,68,0.0,0.0,0.0,0,0,0.48,2.64,-0.03,0.41,0.04,13884.21,SUITABLE
fbs,SPRINT_9_9_3_3_PROP_FIRM_STRICT,0.25pct_equity,68,0.0,0.0,0.0,0,0,1.52,4.86,-0.08,1.77,0.18,27733.47,SUITABLE
fbs,SPRINT_9_9_3_3_PROP_FIRM_STRICT,0.50pct_equity,68,5.88,1.47,0.0,0,0,2.26,8.76,-0.11,3.55,0.35,45466.95,SUITABLE
fbs,SPRINT_9_9_3_3_PROP_FIRM_STRICT,0.75pct_equity,68,10.29,2.94,1.47,0,0,2.77,12.64,-0.12,5.32,0.53,63200.43,SUITABLE
fbs,SPRINT_9_9_3_3_PROP_FIRM_STRICT,1.00pct_equity,68,16.18,2.94,1.47,0,0,3.15,16.22,-0.13,7.1,0.71,80933.9,SUITABLE
fbs,SPRINT_9_9_3_3_PROP_FIRM_STRICT,1.25pct_equity,68,20.59,5.88,2.94,0,0,3.46,19.55,-0.14,8.88,0.89,98667.38,SUITABLE
fbs,SPRINT_9_9_3_3_PROP_FIRM_STRICT,1.50pct_equity,68,22.06,7.35,2.94,0,12,3.72,22.64,-0.14,10.65,1.06,116400.85,UNSUITABLE
fbs,SPRINT_9_9_3_3_PROP_FIRM_STRICT,fixed_0.01_lot,68,0.0,0.0,0.0,0,0,0.79,3.06,-0.04,0.71,0.07,17093.39,SUITABLE
fbs,SPRINT_9_9_3_3_RETAIL_SAFE,0.25pct_equity,70,1.43,0.0,0.0,0,0,1.67,6.57,-0.03,1.98,0.2,31685.5,SUITABLE
fbs,SPRINT_9_9_3_3_RETAIL_SAFE,0.50pct_equity,70,7.14,1.43,0.0,0,0,2.44,9.07,-0.05,3.95,0.4,53371.0,SUITABLE
fbs,SPRINT_9_9_3_3_RETAIL_SAFE,0.75pct_equity,70,12.86,4.29,1.43,0,0,2.95,12.79,-0.05,5.93,0.59,75056.5,SUITABLE
fbs,SPRINT_9_9_3_3_RETAIL_SAFE,1.00pct_equity,70,17.14,5.71,2.86,0,0,3.33,16.1,-0.06,7.9,0.79,96742.0,SUITABLE
fbs,SPRINT_9_9_3_3_RETAIL_SAFE,1.25pct_equity,70,20.0,10.0,4.29,0,0,3.64,19.06,-0.06,9.88,0.99,118427.5,SUITABLE
fbs,SPRINT_9_9_3_3_RETAIL_SAFE,1.50pct_equity,70,22.86,10.0,4.29,0,12,3.9,21.72,-0.06,11.85,1.19,140113.0,UNSUITABLE
fbs,SPRINT_9_9_3_3_RETAIL_SAFE,fixed_0.01_lot,70,0.0,0.0,0.0,0,0,0.9,4.29,-0.02,0.79,0.08,18674.2,SUITABLE
fundednext,SPRINT_9_9_3_3_INSTITUTIONAL,0.25pct_equity,24,12.5,0.0,0.0,0,0,2.64,7.45,0.73,1.82,0.18,18642.62,SUITABLE
fundednext,SPRINT_9_9_3_3_INSTITUTIONAL,0.50pct_equity,24,25.0,8.33,4.17,0,0,4.3,10.68,1.42,3.65,0.36,27285.25,SUITABLE
fundednext,SPRINT_9_9_3_3_INSTITUTIONAL,0.75pct_equity,24,41.67,20.83,8.33,0,0,5.51,12.49,1.96,5.47,0.55,35927.88,SUITABLE
fundednext,SPRINT_9_9_3_3_INSTITUTIONAL,1.00pct_equity,24,50.0,25.0,20.83,0,0,6.48,13.98,2.25,7.3,0.73,44570.5,SUITABLE
fundednext,SPRINT_9_9_3_3_INSTITUTIONAL,1.25pct_equity,24,62.5,37.5,25.0,0,0,7.28,15.25,2.39,9.12,0.91,53213.12,SUITABLE
fundednext,SPRINT_9_9_3_3_INSTITUTIONAL,1.50pct_equity,24,70.83,37.5,33.33,0,12,7.97,16.23,2.49,10.95,1.09,61855.75,UNSUITABLE
fundednext,SPRINT_9_9_3_3_INSTITUTIONAL,fixed_0.01_lot,24,0.0,0.0,0.0,0,0,1.25,3.91,0.3,0.73,0.07,13457.05,SUITABLE
fundednext,SPRINT_9_9_3_3_PROP_FIRM_STRICT,0.25pct_equity,24,12.5,4.17,0.0,0,0,2.97,8.13,0.88,1.7,0.17,20137.7,SUITABLE
fundednext,SPRINT_9_9_3_3_PROP_FIRM_STRICT,0.50pct_equity,24,29.17,16.67,4.17,0,0,4.75,11.36,1.73,3.4,0.34,30275.4,SUITABLE
fundednext,SPRINT_9_9_3_3_PROP_FIRM_STRICT,0.75pct_equity,24,54.17,25.0,12.5,0,0,6.03,13.1,2.39,5.1,0.51,40413.1,SUITABLE
fundednext,SPRINT_9_9_3_3_PROP_FIRM_STRICT,1.00pct_equity,24,62.5,29.17,25.0,0,0,7.04,15.07,2.6,6.8,0.68,50550.8,SUITABLE
fundednext,SPRINT_9_9_3_3_PROP_FIRM_STRICT,1.25pct_equity,24,75.0,37.5,29.17,0,0,7.88,18.05,2.75,8.5,0.85,60688.5,SUITABLE
fundednext,SPRINT_9_9_3_3_PROP_FIRM_STRICT,1.50pct_equity,24,79.17,37.5,33.33,0,12,8.59,20.78,2.85,10.2,1.02,70826.2,UNSUITABLE
fundednext,SPRINT_9_9_3_3_PROP_FIRM_STRICT,fixed_0.01_lot,24,0.0,0.0,0.0,0,0,1.43,4.39,0.36,0.68,0.07,14055.08,SUITABLE
fundednext,SPRINT_9_9_3_3_RETAIL_SAFE,0.25pct_equity,24,12.5,4.17,4.17,0,0,3.53,10.5,0.3,1.98,0.2,22862.52,SUITABLE
fundednext,SPRINT_9_9_3_3_RETAIL_SAFE,0.50pct_equity,24,45.83,16.67,8.33,0,0,5.49,14.21,0.58,3.95,0.4,35725.05,SUITABLE
fundednext,SPRINT_9_9_3_3_RETAIL_SAFE,0.75pct_equity,24,70.83,25.0,25.0,0,0,6.87,16.11,0.85,5.93,0.59,48587.58,SUITABLE
fundednext,SPRINT_9_9_3_3_RETAIL_SAFE,1.00pct_equity,24,75.0,33.33,25.0,0,0,7.94,17.26,1.1,7.9,0.79,61450.1,SUITABLE
fundednext,SPRINT_9_9_3_3_RETAIL_SAFE,1.25pct_equity,24,79.17,45.83,33.33,0,0,8.82,18.04,1.35,9.88,0.99,74312.62,SUITABLE
fundednext,SPRINT_9_9_3_3_RETAIL_SAFE,1.50pct_equity,24,83.33,54.17,33.33,0,12,9.57,20.33,1.58,11.85,1.19,87175.15,UNSUITABLE
fundednext,SPRINT_9_9_3_3_RETAIL_SAFE,fixed_0.01_lot,24,4.17,0.0,0.0,0,0,1.75,5.89,0.12,0.79,0.08,15145.01,SUITABLE
icmarkets,SPRINT_9_9_3_3_INSTITUTIONAL,0.25pct_equity,72,1.39,0.0,0.0,0,0,1.35,5.15,-0.27,1.82,0.18,26133.43,SUITABLE
icmarkets,SPRINT_9_9_3_3_INSTITUTIONAL,0.50pct_equity,72,4.17,1.39,0.0,0,0,2.03,8.39,-0.37,3.65,0.36,42266.85,SUITABLE
icmarkets,SPRINT_9_9_3_3_INSTITUTIONAL,0.75pct_equity,72,9.72,1.39,1.39,0,0,2.5,12.18,-0.42,5.47,0.55,58400.27,SUITABLE
icmarkets,SPRINT_9_9_3_3_INSTITUTIONAL,1.00pct_equity,72,13.89,4.17,1.39,0,0,2.86,15.74,-0.45,7.3,0.73,74533.7,SUITABLE
icmarkets,SPRINT_9_9_3_3_INSTITUTIONAL,1.25pct_equity,72,16.67,5.56,4.17,0,0,3.15,19.08,-0.48,9.12,0.91,90667.12,SUITABLE
icmarkets,SPRINT_9_9_3_3_INSTITUTIONAL,1.50pct_equity,72,18.06,5.56,5.56,0,12,3.4,22.23,-0.49,10.95,1.09,106800.55,UNSUITABLE
icmarkets,SPRINT_9_9_3_3_INSTITUTIONAL,fixed_0.01_lot,72,0.0,0.0,0.0,0,0,0.7,3.17,-0.15,0.73,0.07,16453.37,SUITABLE
icmarkets,SPRINT_9_9_3_3_PROP_FIRM_STRICT,0.25pct_equity,72,1.39,0.0,0.0,0,0,1.51,5.33,-0.04,1.68,0.17,29378.5,SUITABLE
icmarkets,SPRINT_9_9_3_3_PROP_FIRM_STRICT,0.50pct_equity,72,6.94,1.39,0.0,0,0,2.24,9.59,-0.05,3.35,0.34,48757.0,SUITABLE
icmarkets,SPRINT_9_9_3_3_PROP_FIRM_STRICT,0.75pct_equity,72,9.72,4.17,1.39,0,0,2.72,13.96,-0.06,5.03,0.5,68135.5,SUITABLE
icmarkets,SPRINT_9_9_3_3_PROP_FIRM_STRICT,1.00pct_equity,72,13.89,6.94,2.78,0,0,3.09,18.09,-0.06,6.7,0.67,87514.0,SUITABLE
icmarkets,SPRINT_9_9_3_3_PROP_FIRM_STRICT,1.25pct_equity,72,18.06,6.94,4.17,0,0,3.4,21.98,-0.06,8.38,0.84,106892.5,SUITABLE
icmarkets,SPRINT_9_9_3_3_PROP_FIRM_STRICT,1.50pct_equity,72,22.22,6.94,5.56,0,12,3.65,25.67,-0.07,10.05,1.01,126271.0,UNSUITABLE
icmarkets,SPRINT_9_9_3_3_PROP_FIRM_STRICT,fixed_0.01_lot,72,0.0,0.0,0.0,0,0,0.8,3.42,-0.02,0.67,0.07,17751.4,SUITABLE
icmarkets,SPRINT_9_9_3_3_RETAIL_SAFE,0.25pct_equity,72,2.78,0.0,0.0,0,0,1.7,7.95,0.02,1.98,0.2,33352.3,SUITABLE
icmarkets,SPRINT_9_9_3_3_RETAIL_SAFE,0.50pct_equity,72,6.94,2.78,1.39,0,0,2.46,15.25,0.03,3.95,0.4,56704.6,SUITABLE
icmarkets,SPRINT_9_9_3_3_RETAIL_SAFE,0.75pct_equity,72,13.89,4.17,1.39,0,0,2.97,21.98,0.03,5.93,0.59,80056.9,SUITABLE
icmarkets,SPRINT_9_9_3_3_RETAIL_SAFE,1.00pct_equity,72,15.28,6.94,2.78,0,0,3.36,28.2,0.03,7.9,0.79,103409.2,SUITABLE
icmarkets,SPRINT_9_9_3_3_RETAIL_SAFE,1.25pct_equity,72,18.06,9.72,4.17,0,0,3.67,33.97,0.03,9.88,0.99,126761.5,SUITABLE
icmarkets,SPRINT_9_9_3_3_RETAIL_SAFE,1.50pct_equity,72,19.44,11.11,5.56,0,12,3.94,39.34,0.04,11.85,1.19,150113.8,UNSUITABLE
icmarkets,SPRINT_9_9_3_3_RETAIL_SAFE,fixed_0.01_lot,72,0.0,0.0,0.0,0,0,0.92,4.5,0.01,0.79,0.08,19340.92,SUITABLE
