year,month,source,realized_profit_pct,estimated_mfe_pct,mfe_captured_pct,profit_left_on_table_pct,could_better_exit_reach_10pct
2020,2020-01,canonical,2.56,5.76,44.45,3.2,False
2020,2020-02,canonical,3.86,8.68,44.45,4.82,False
2020,2020-03,canonical,11.2,25.2,44.45,14.0,True
2020,2020-04,canonical,4.17,9.38,44.45,5.21,False
2020,2020-05,canonical,3.08,6.93,44.45,3.85,False
2020,2020-06,canonical,1.76,3.96,44.45,2.2,False
2020,2020-07,canonical,7.9,17.77,44.45,9.87,True
2020,2020-08,canonical,6.71,15.1,44.45,8.39,True
2020,2020-09,canonical,1.04,2.34,44.45,1.3,False
2020,2020-10,canonical,1.15,2.59,44.45,1.44,False
2020,2020-11,canonical,4.98,11.2,44.45,6.22,True
2020,2020-12,canonical,4.08,9.18,44.45,5.1,False
2021,2021-01,canonical,1.83,4.09,44.77,2.26,False
2021,2021-02,canonical,4.05,9.05,44.77,5.0,False
2021,2021-03,canonical,0.99,2.21,44.77,1.22,False
2021,2021-04,canonical,2.14,4.78,44.77,2.64,False
2021,2021-05,canonical,1.65,3.69,44.77,2.04,False
2021,2021-06,canonical,1.29,2.88,44.77,1.59,False
2021,2021-07,canonical,2.2,4.91,44.77,2.71,False
2021,2021-08,canonical,3.55,7.93,44.77,4.38,False
2021,2021-09,canonical,0.52,1.16,44.77,0.64,False
2021,2021-10,canonical,0.32,0.71,44.77,0.39,False
2021,2021-11,canonical,3.14,7.01,44.77,3.87,False
2021,2021-12,canonical,0.83,1.85,44.77,1.02,False
2022,2022-01,canonical,2.69,6.18,43.52,3.49,False
2022,2022-02,canonical,1.78,4.09,43.52,2.31,False
2022,2022-03,canonical,3.14,7.22,43.52,4.08,False
2022,2022-04,canonical,1.5,3.45,43.52,1.95,False
2022,2022-05,canonical,1.77,4.07,43.52,2.3,False
2022,2022-06,canonical,0.85,1.95,43.52,1.1,False
2022,2022-07,canonical,2.68,6.16,43.52,3.48,False
2022,2022-08,canonical,1.42,3.26,43.52,1.84,False
2022,2022-09,canonical,2.88,6.62,43.52,3.74,False
2022,2022-10,canonical,2.39,5.49,43.52,3.1,False
2022,2022-11,canonical,1.33,3.06,43.52,1.73,False
2022,2022-12,canonical,0.01,0.02,43.52,0.01,False
2023,2023-01,canonical,0.06,0.14,42.81,0.08,False
2023,2023-02,canonical,1.39,3.25,42.81,1.86,False
2023,2023-03,canonical,1.46,3.41,42.81,1.95,False
2023,2023-04,canonical,0.36,0.84,42.81,0.48,False
2023,2023-05,canonical,1.29,3.01,42.81,1.72,False
2023,2023-06,canonical,0.05,0.12,42.81,0.07,False
2023,2023-07,canonical,0.13,0.3,42.81,0.17,False
2023,2023-08,canonical,0.82,1.92,42.81,1.1,False
2023,2023-09,canonical,1.59,3.71,42.81,2.12,False
2023,2023-10,canonical,2.55,5.96,42.81,3.41,False
2023,2023-11,canonical,0.02,0.05,42.81,0.03,False
2023,2023-12,canonical,2.05,4.79,42.81,2.74,False
2024,2024-01,canonical,0.47,1.15,41.0,0.68,False
2024,2024-02,canonical,0.44,1.07,41.0,0.63,False
2024,2024-03,canonical,2.83,6.9,41.0,4.07,False
2024,2024-04,canonical,2.99,7.29,41.0,4.3,False
2024,2024-05,canonical,3.14,7.66,41.0,4.52,False
2024,2024-07,canonical,4.36,10.63,41.0,6.27,True
2024,2024-08,canonical,0.36,0.88,41.0,0.52,False
2024,2024-09,canonical,1.89,4.61,41.0,2.72,False
2024,2024-10,canonical,0.88,2.15,41.0,1.27,False
2024,2024-11,canonical,3.34,8.15,41.0,4.81,False
2024,2024-12,canonical,0.6,1.46,41.0,0.86,False
2025,2025-01,canonical,2.16,4.77,45.24,2.61,False
2025,2025-02,canonical,0.85,1.88,45.24,1.03,False
2025,2025-03,canonical,2.46,5.44,45.24,2.98,False
2025,2025-04,canonical,11.27,24.91,45.24,13.64,True
2025,2025-05,canonical,8.96,19.81,45.24,10.85,True
2025,2025-06,canonical,2.72,6.01,45.24,3.29,False
2025,2025-07,canonical,2.49,5.5,45.24,3.01,False
2025,2025-08,canonical,0.83,1.83,45.24,1.0,False
2025,2025-09,canonical,6.26,13.84,45.24,7.58,True
2025,2025-10,canonical,8.43,18.63,45.24,10.2,True
2025,2025-11,canonical,3.49,7.71,45.24,4.22,False
2025,2025-12,canonical,2.92,6.45,45.24,3.53,False
2021,2021-02,exness,2.08,3.12,66.67,1.04,False
2021,2021-03,exness,4.2,6.3,66.67,2.1,False
2021,2021-04,exness,5.17,7.75,66.67,2.58,False
2021,2021-05,exness,1.75,2.62,66.67,0.88,False
2021,2021-06,exness,1.2,1.8,66.67,0.6,False
2021,2021-07,exness,1.28,1.92,66.67,0.64,False
2021,2021-08,exness,4.7,7.05,66.67,2.35,False
2021,2021-09,exness,3.93,5.9,66.67,1.97,False
2021,2021-10,exness,3.2,4.8,66.67,1.6,False
2021,2021-11,exness,4.24,6.36,66.67,2.12,False
2021,2021-12,exness,2.41,3.62,66.67,1.21,False
2022,2022-01,exness,2.32,3.48,66.67,1.16,False
2022,2022-02,exness,3.63,5.45,66.67,1.82,False
2022,2022-03,exness,12.45,18.67,66.67,6.22,True
2022,2022-04,exness,3.16,4.74,66.67,1.58,False
2022,2022-05,exness,3.89,5.83,66.67,1.94,False
2022,2022-06,exness,1.51,2.27,66.67,0.76,False
2022,2022-07,exness,4.26,6.39,66.67,2.13,False
2022,2022-08,exness,2.52,3.78,66.67,1.26,False
2022,2022-09,exness,2.53,3.79,66.67,1.27,False
2022,2022-10,exness,2.48,3.72,66.67,1.24,False
2022,2022-11,exness,2.37,3.56,66.67,1.19,False
2022,2022-12,exness,2.55,3.82,66.67,1.27,False
2023,2023-01,exness,2.21,3.31,66.67,1.1,False
2023,2023-02,exness,1.51,2.27,66.67,0.76,False
2023,2023-03,exness,5.39,8.08,66.67,2.69,False
2023,2023-04,exness,3.32,4.98,66.67,1.66,False
2023,2023-05,exness,2.18,3.27,66.67,1.09,False
2023,2023-06,exness,0.98,1.47,66.67,0.49,False
2023,2023-07,exness,0.95,1.42,66.67,0.47,False
2023,2023-08,exness,0.88,1.32,66.67,0.44,False
2023,2023-09,exness,1.65,2.47,66.67,0.82,False
2023,2023-10,exness,3.21,4.81,66.67,1.6,False
2023,2023-11,exness,2.17,3.25,66.67,1.08,False
2023,2023-12,exness,1.52,2.28,66.67,0.76,False
2024,2024-01,exness,2.46,4.77,51.61,2.31,False
2024,2024-02,exness,0.98,1.9,51.61,0.92,False
2024,2024-03,exness,1.89,3.66,51.61,1.77,False
2024,2024-04,exness,3.72,7.21,51.61,3.49,False
2024,2024-05,exness,2.75,5.33,51.61,2.58,False
2024,2024-06,exness,1.39,2.69,51.61,1.3,False
2024,2024-07,exness,3.7,7.17,51.61,3.47,False
2024,2024-08,exness,2.17,4.2,51.61,2.03,False
2024,2024-09,exness,4.25,8.24,51.61,3.99,False
2024,2024-10,exness,3.41,6.61,51.61,3.2,False
2024,2024-11,exness,4.33,8.39,51.61,4.06,False
2024,2024-12,exness,3.77,7.31,51.61,3.54,False
2025,2025-01,exness,3.91,8.49,46.04,4.58,False
2025,2025-02,exness,4.41,9.58,46.04,5.17,False
2025,2025-03,exness,3.46,7.52,46.04,4.06,False
2025,2025-04,exness,9.96,21.63,46.04,11.67,True
2025,2025-05,exness,8.66,18.81,46.04,10.15,True
2025,2025-06,exness,3.74,8.12,46.04,4.38,False
2025,2025-07,exness,3.6,7.82,46.04,4.22,False
2025,2025-08,exness,1.99,4.32,46.04,2.33,False
2025,2025-09,exness,4.73,10.27,46.04,5.54,True
2025,2025-10,exness,11.42,24.8,46.04,13.38,True
2025,2025-11,exness,2.0,4.34,46.04,2.34,False
2025,2025-12,exness,5.49,11.92,46.04,6.43,True
2020,2020-05,fbs,6.25,13.96,44.77,7.71,True
2020,2020-06,fbs,6.06,13.53,44.77,7.47,True
2020,2020-07,fbs,8.17,18.25,44.77,10.08,True
2020,2020-08,fbs,19.55,43.66,44.77,24.11,True
2020,2020-09,fbs,8.83,19.72,44.77,10.89,True
2020,2020-10,fbs,1.9,4.24,44.77,2.34,False
2020,2020-11,fbs,7.23,16.15,44.77,8.92,True
2020,2020-12,fbs,5.69,12.71,44.77,7.02,True
2021,2021-01,fbs,6.1,13.24,46.07,7.14,True
2021,2021-02,fbs,5.66,12.29,46.07,6.63,True
2021,2021-03,fbs,2.8,6.08,46.07,3.28,False
2021,2021-04,fbs,2.28,4.95,46.07,2.67,False
2021,2021-05,fbs,4.46,9.68,46.07,5.22,False
2021,2021-06,fbs,2.99,6.49,46.07,3.5,False
2021,2021-07,fbs,1.32,2.87,46.07,1.55,False
2021,2021-08,fbs,5.29,11.48,46.07,6.19,True
2021,2021-09,fbs,2.94,6.38,46.07,3.44,False
2021,2021-10,fbs,2.14,4.65,46.07,2.51,False
2021,2021-11,fbs,4.69,10.18,46.07,5.49,True
2021,2021-12,fbs,1.55,3.36,46.07,1.81,False
2022,2022-01,fbs,2.37,5.38,44.02,3.01,False
2022,2022-02,fbs,1.61,3.66,44.02,2.05,False
2022,2022-03,fbs,10.86,24.67,44.02,13.81,True
2022,2022-04,fbs,1.58,3.59,44.02,2.01,False
2022,2022-05,fbs,2.04,4.63,44.02,2.59,False
2022,2022-06,fbs,1.52,3.45,44.02,1.93,False
2022,2022-07,fbs,2.89,6.57,44.02,3.68,False
2022,2022-08,fbs,1.84,4.18,44.02,2.34,False
2022,2022-09,fbs,1.48,3.36,44.02,1.88,False
2022,2022-10,fbs,1.39,3.16,44.02,1.77,False
2022,2022-11,fbs,2.06,4.68,44.02,2.62,False
2022,2022-12,fbs,1.63,3.7,44.02,2.07,False
2023,2023-01,fbs,1.63,3.38,48.22,1.75,False
2023,2023-02,fbs,2.36,4.89,48.22,2.53,False
2023,2023-03,fbs,4.49,9.31,48.22,4.82,False
2023,2023-04,fbs,2.62,5.43,48.22,2.81,False
2023,2023-05,fbs,2.7,5.6,48.22,2.9,False
2023,2023-07,fbs,1.21,2.51,48.22,1.3,False
2023,2023-08,fbs,1.24,2.57,48.22,1.33,False
2023,2023-09,fbs,2.6,5.39,48.22,2.79,False
2023,2023-10,fbs,2.45,5.08,48.22,2.63,False
2023,2023-11,fbs,1.78,3.69,48.22,1.91,False
2023,2023-12,fbs,2.38,4.94,48.22,2.56,False
2024,2024-01,fbs,2.45,5.14,47.68,2.69,False
2024,2024-03,fbs,4.25,8.91,47.68,4.66,False
2024,2024-04,fbs,3.99,8.37,47.68,4.38,False
2024,2024-05,fbs,2.71,5.68,47.68,2.97,False
2024,2024-06,fbs,1.38,2.89,47.68,1.51,False
2024,2024-07,fbs,4.31,9.04,47.68,4.73,False
2024,2024-08,fbs,1.4,2.94,47.68,1.54,False
2024,2024-09,fbs,2.88,6.04,47.68,3.16,False
2024,2024-10,fbs,2.1,4.4,47.68,2.3,False
2024,2024-11,fbs,2.76,5.79,47.68,3.03,False
2024,2024-12,fbs,2.16,4.53,47.68,2.37,False
2025,2025-01,fbs,2.5,5.5,45.45,3.0,False
2025,2025-02,fbs,3.46,7.61,45.45,4.15,False
2025,2025-03,fbs,2.59,5.7,45.45,3.11,False
2025,2025-04,fbs,6.51,14.32,45.45,7.81,True
2025,2025-05,fbs,5.28,11.62,45.45,6.34,True
2025,2025-06,fbs,1.69,3.72,45.45,2.03,False
2025,2025-07,fbs,3.25,7.15,45.45,3.9,False
2025,2025-08,fbs,1.26,2.77,45.45,1.51,False
2025,2025-09,fbs,3.24,7.13,45.45,3.89,False
2025,2025-10,fbs,7.09,15.6,45.45,8.51,True
2025,2025-11,fbs,1.72,3.78,45.45,2.06,False
2025,2025-12,fbs,3.97,8.73,45.45,4.76,False
2024,2024-01,fundednext,9.48,20.56,46.12,11.08,True
2024,2024-02,fundednext,4.11,8.91,46.12,4.8,False
2024,2024-03,fundednext,11.14,24.15,46.12,13.01,True
2024,2024-04,fundednext,18.05,39.14,46.12,21.09,True
2024,2024-05,fundednext,12.44,26.97,46.12,14.53,True
2024,2024-06,fundednext,4.55,9.87,46.12,5.32,False
2024,2024-07,fundednext,12.03,26.08,46.12,14.05,True
2024,2024-08,fundednext,4.33,9.39,46.12,5.06,False
2024,2024-09,fundednext,8.28,17.95,46.12,9.67,True
2024,2024-10,fundednext,5.42,11.75,46.12,6.33,True
2024,2024-11,fundednext,7.25,15.72,46.12,8.47,True
2024,2024-12,fundednext,5.12,11.1,46.12,5.98,True
2025,2025-01,fundednext,6.2,13.55,45.75,7.35,True
2025,2025-02,fundednext,6.83,14.93,45.75,8.1,True
2025,2025-03,fundednext,5.42,11.85,45.75,6.43,True
2025,2025-04,fundednext,14.06,30.73,45.75,16.67,True
2025,2025-05,fundednext,11.74,25.66,45.75,13.92,True
2025,2025-06,fundednext,3.48,7.61,45.75,4.13,False
2025,2025-07,fundednext,6.23,13.62,45.75,7.39,True
2025,2025-08,fundednext,2.75,6.01,45.75,3.26,False
2025,2025-09,fundednext,5.14,11.23,45.75,6.09,True
2025,2025-10,fundednext,14.92,32.61,45.75,17.69,True
2025,2025-11,fundednext,3.01,6.58,45.75,3.57,False
2025,2025-12,fundednext,7.1,15.52,45.75,8.42,True
2020,2020-01,icmarkets,10.09,22.05,45.75,11.96,True
2020,2020-02,icmarkets,5.39,11.78,45.75,6.39,True
2020,2020-03,icmarkets,21.98,48.04,45.75,26.06,True
2020,2020-04,icmarkets,9.92,21.68,45.75,11.76,True
2020,2020-05,icmarkets,4.86,10.62,45.75,5.76,True
2020,2020-06,icmarkets,4.1,8.96,45.75,4.86,False
2020,2020-07,icmarkets,6.38,13.94,45.75,7.56,True
2020,2020-08,icmarkets,13.53,29.57,45.75,16.04,True
2020,2020-09,icmarkets,5.85,12.79,45.75,6.94,True
2020,2020-10,icmarkets,1.65,3.61,45.75,1.96,False
2020,2020-11,icmarkets,5.0,10.93,45.75,5.93,True
2020,2020-12,icmarkets,5.44,11.89,45.75,6.45,True
2021,2021-01,icmarkets,6.06,13.17,46.0,7.11,True
2021,2021-02,icmarkets,5.3,11.52,46.0,6.22,True
2021,2021-03,icmarkets,2.08,4.52,46.0,2.44,False
2021,2021-04,icmarkets,1.86,4.04,46.0,2.18,False
2021,2021-05,icmarkets,3.43,7.46,46.0,4.03,False
2021,2021-06,icmarkets,2.08,4.52,46.0,2.44,False
2021,2021-07,icmarkets,1.75,3.8,46.0,2.05,False
2021,2021-08,icmarkets,3.8,8.26,46.0,4.46,False
2021,2021-09,icmarkets,3.03,6.59,46.0,3.56,False
2021,2021-10,icmarkets,1.66,3.61,46.0,1.95,False
2021,2021-11,icmarkets,3.9,8.48,46.0,4.58,False
2021,2021-12,icmarkets,1.52,3.3,46.0,1.78,False
2022,2022-01,icmarkets,1.91,4.26,44.87,2.35,False
2022,2022-02,icmarkets,1.35,3.01,44.87,1.66,False
2022,2022-03,icmarkets,9.53,21.24,44.87,11.71,True
2022,2022-04,icmarkets,1.62,3.61,44.87,1.99,False
2022,2022-05,icmarkets,0.86,1.92,44.87,1.06,False
2022,2022-06,icmarkets,1.29,2.88,44.87,1.59,False
2022,2022-07,icmarkets,1.98,4.41,44.87,2.43,False
2022,2022-08,icmarkets,2.02,4.5,44.87,2.48,False
2022,2022-09,icmarkets,1.24,2.76,44.87,1.52,False
2022,2022-10,icmarkets,1.05,2.34,44.87,1.29,False
2022,2022-11,icmarkets,1.52,3.39,44.87,1.87,False
2022,2022-12,icmarkets,1.64,3.66,44.87,2.02,False
2023,2023-01,icmarkets,1.41,2.87,49.13,1.46,False
2023,2023-02,icmarkets,2.15,4.38,49.13,2.23,False
2023,2023-03,icmarkets,3.54,7.2,49.13,3.66,False
2023,2023-04,icmarkets,2.3,4.68,49.13,2.38,False
2023,2023-05,icmarkets,2.27,4.62,49.13,2.35,False
2023,2023-07,icmarkets,1.02,2.08,49.13,1.06,False
2023,2023-08,icmarkets,0.96,1.95,49.13,0.99,False
2023,2023-09,icmarkets,2.3,4.68,49.13,2.38,False
2023,2023-10,icmarkets,1.72,3.5,49.13,1.78,False
2023,2023-11,icmarkets,2.01,4.09,49.13,2.08,False
2023,2023-12,icmarkets,2.05,4.17,49.13,2.12,False
2024,2024-01,icmarkets,2.02,4.26,47.41,2.24,False
2024,2024-03,icmarkets,3.43,7.24,47.41,3.81,False
2024,2024-04,icmarkets,3.49,7.36,47.41,3.87,False
2024,2024-05,icmarkets,2.39,5.04,47.41,2.65,False
2024,2024-06,icmarkets,1.19,2.51,47.41,1.32,False
2024,2024-07,icmarkets,3.87,8.16,47.41,4.29,False
2024,2024-08,icmarkets,1.3,2.74,47.41,1.44,False
2024,2024-09,icmarkets,2.29,4.83,47.41,2.54,False
2024,2024-10,icmarkets,1.7,3.59,47.41,1.89,False
2024,2024-11,icmarkets,2.49,5.25,47.41,2.76,False
2024,2024-12,icmarkets,1.91,4.03,47.41,2.12,False
2025,2025-01,icmarkets,2.26,4.93,45.8,2.67,False
2025,2025-02,icmarkets,2.75,6.0,45.8,3.25,False
2025,2025-03,icmarkets,2.29,5.0,45.8,2.71,False
2025,2025-04,icmarkets,6.04,13.19,45.8,7.15,True
2025,2025-05,icmarkets,4.96,10.83,45.8,5.87,True
2025,2025-06,icmarkets,1.74,3.8,45.8,2.06,False
2025,2025-07,icmarkets,2.74,5.98,45.8,3.24,False
2025,2025-08,icmarkets,1.35,2.95,45.8,1.6,False
2025,2025-09,icmarkets,2.83,6.18,45.8,3.35,False
2025,2025-10,icmarkets,7.59,16.57,45.8,8.98,True
2025,2025-11,icmarkets,1.59,3.47,45.8,1.88,False
2025,2025-12,icmarkets,3.9,8.52,45.8,4.62,False
